,Date,Open
1266,"Jan 27, 2016",392.44
1267,"Jan 26, 2016",392
1268,"Jan 25, 2016",402.32
1269,"Jan 24, 2016",388.1
1270,"Jan 23, 2016",382.43
1271,"Jan 22, 2016",409.75
1272,"Jan 21, 2016",419.63
1273,"Jan 20, 2016",379.74
1274,"Jan 19, 2016",387.03
1275,"Jan 18, 2016",381.73
1276,"Jan 17, 2016",387.15
1277,"Jan 16, 2016",365.07
1278,"Jan 15, 2016",430.26
1279,"Jan 14, 2016",432.29
1280,"Jan 13, 2016",434.67
1281,"Jan 12, 2016",448.18
1282,"Jan 11, 2016",448.7
1283,"Jan 10, 2016",448.24
1284,"Jan 09, 2016",453.38
1285,"Jan 08, 2016",457.54
1286,"Jan 07, 2016",430.01
1287,"Jan 06, 2016",431.86
1288,"Jan 05, 2016",433.07
1289,"Jan 04, 2016",430.06
1290,"Jan 03, 2016",433.58
1291,"Jan 02, 2016",434.62
1292,"Jan 01, 2016",430.72
1293,"Dec 31, 2015",425.88
1294,"Dec 30, 2015",433.3
1295,"Dec 29, 2015",422.1
1296,"Dec 28, 2015",423.34
1297,"Dec 27, 2015",416.51
1298,"Dec 26, 2015",455.76
1299,"Dec 25, 2015",454.86
1300,"Dec 24, 2015",443.09
1301,"Dec 23, 2015",436.72
1302,"Dec 22, 2015",437.44
1303,"Dec 21, 2015",442.84
1304,"Dec 20, 2015",462.23
1305,"Dec 19, 2015",463.55
1306,"Dec 18, 2015",455.85
1307,"Dec 17, 2015",454.78
1308,"Dec 16, 2015",465.21
1309,"Dec 15, 2015",443.88
1310,"Dec 14, 2015",433.27
1311,"Dec 13, 2015",431.66
1312,"Dec 12, 2015",452.33
1313,"Dec 11, 2015",415.28
1314,"Dec 10, 2015",417.99
1315,"Dec 09, 2015",414.44
1316,"Dec 08, 2015",395.75
1317,"Dec 07, 2015",389.98
1318,"Dec 06, 2015",389.55
1319,"Dec 05, 2015",363.72
1320,"Dec 04, 2015",361.26
1321,"Dec 03, 2015",359.33
1322,"Dec 02, 2015",361.85
1323,"Dec 01, 2015",377.41
1324,"Nov 30, 2015",371.44
1325,"Nov 29, 2015",357.47
1326,"Nov 28, 2015",357.14
1327,"Nov 27, 2015",351.86
1328,"Nov 26, 2015",328.3
1329,"Nov 25, 2015",320.05
1330,"Nov 24, 2015",323.01
1331,"Nov 23, 2015",324.35
1332,"Nov 22, 2015",326.98
1333,"Nov 21, 2015",322.09
1334,"Nov 20, 2015",326.41
1335,"Nov 19, 2015",334.68
1336,"Nov 18, 2015",334.59
1337,"Nov 17, 2015",330.36
1338,"Nov 16, 2015",319.73
1339,"Nov 15, 2015",333.05
1340,"Nov 14, 2015",336.62
1341,"Nov 13, 2015",338.5
1342,"Nov 12, 2015",314.08
1343,"Nov 11, 2015",339.82
1344,"Nov 10, 2015",379.98
1345,"Nov 09, 2015",374.32
1346,"Nov 08, 2015",384.28
1347,"Nov 07, 2015",374.27
1348,"Nov 06, 2015",388.05
1349,"Nov 05, 2015",408.08
1350,"Nov 04, 2015",403.66
1351,"Nov 03, 2015",361.87
1352,"Nov 02, 2015",325.94
1353,"Nov 01, 2015",315.01
1354,"Oct 31, 2015",328.51
1355,"Oct 30, 2015",313.94
1356,"Oct 29, 2015",304.32
1357,"Oct 28, 2015",293.7
1358,"Oct 27, 2015",285.18
1359,"Oct 26, 2015",283.63
1360,"Oct 25, 2015",281.45
1361,"Oct 24, 2015",276.5
1362,"Oct 23, 2015",273.65
1363,"Oct 22, 2015",266.5
1364,"Oct 21, 2015",269.31
1365,"Oct 20, 2015",263.57
1366,"Oct 19, 2015",261.86
1367,"Oct 18, 2015",270.91
1368,"Oct 17, 2015",262.75
1369,"Oct 16, 2015",254.3
1370,"Oct 15, 2015",252.11
1371,"Oct 14, 2015",249.49
1372,"Oct 13, 2015",245.2
